[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],US 1120 Balance Sheet_Name,[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
1,资产类,,Asset,,,Yes,,,,,,,,,,,,
1001,库存现金,存放于企业财会部门、出纳人员经管的货币,Asset,Debit,,Yes,,1,,,,,,,,,,
100101,零用现金,Petty Cash - Cash Book Asset,Asset,Debit,Yes,,CB_ASSET_ACCT,1001,,,,,,,,,,
100102,在途现金,Petty Cash In-Transfer - Cash Book Transfer,Asset,Debit,Yes,,CB_CASHTRANSFER_ACCT,1001,,,,,,,,,,
1002,银行存款,存放在银行或其他金融机构的货币资金,Asset,Debit,,Yes,,1,,,,,,,,,,
100201,银行存款,Checking Account - Bank Asset,Asset,Debit,Yes,,B_ASSET_ACCT,1002,,,,,,,,,,
100202,在途银行存款,Checking In-Transfer - Bank transactions in transit,Asset,Debit,Yes,,B_INTRANSIT_ACCT,1002,,,,,,,,,,
100203,未确认收款,从英文版拷贝过来的科目，删除旧[Default_Account] - B_UNIDENTIFIED_ACCT,Asset,Debit,Yes,,,1002,,,,,,,,,,
100204,未分配收款,"Checking Unallocated Receipts - Received, unallocated payments",Asset,Debit,Yes,,B_UNALLOCATEDCASH_ACCT,1002,,,,,,,,,,
1012,其他货币资金,银行本票存款、银行汇票存款等其他货币资金,Asset,Debit,,,,1,,,,,,,,,,
1101,交易性金融资产,以公允价值计量且变动计入当期损益的金融资产,Asset,Debit,,,,1,,,,,,,,,,
1121,应收票据,销售材料、商品等取得的商业汇票,Asset,Debit,,,,1,,,,,,,,,,
1122,应收账款,本科目核算企业因销售商品、提供劳务等经营活动应收取的款项,Asset,Debit,,Yes,,1,,,,,,,,,,
112201,应收账款 - 贸易,Accounts Receivable - Trade - Accounts Receivables,Asset,Debit,Yes,,C_RECEIVABLE_ACCT,1122,,,,,,,,,,
112202,应收账款 - 服务,Accounts Receivable Services - Trade - Accounts Receivables for Services,Asset,Debit,Yes,,C_RECEIVABLE_SERVICES_ACCT,1122,,,,,,,,,,
112203,应收账款 -未开票,从英文版拷贝过来的科目，删除旧[Default_Account] - NOTINVOICEDRECEIVABLES_ACCT,Asset,Debit,Yes,,,1122,,,,,,,,,,
112204,应收账款 -公司内部往来,Intercompany Due From - Default Receivables account for intercompany trx,Asset,Debit,Yes,,INTERCOMPANYDUEFROM_ACCT,1221,,,,,,,,,,
112205,应收账款 -税款,T_RECEIVABLES_ACCT 变成： Tax credit A/R - Tax to receive based on tax declaration - 尝试在出口退税等方向上使用,Asset,Debit,Yes,,T_CREDIT_ACCT,1221,,,,,,,,,,
1123,预付账款,为购买材料、商品等而预付的款项,Asset,Debit,,Yes,,1,,,,,,,,,,
112301,预付账款 - 供应商,Vendor prepayment - Prepayments for future expense,Asset,Debit,Yes,,V_PREPAYMENT_ACCT,1123,,,,,,,,,,
112302,预付账款 - 预付职工工资,从英文版拷贝过来的科目，删除旧[Default_Account] - E_PREPAYMENT_ACCT,Asset,Debit,Yes,,,1123,,,,,,,,,,
112303,预付账款 - 其他,,Asset,Debit,Yes,,,1123,,,,,,,,,,
1131,应收股利,应收取的现金股利,Asset,,,,,1,,,,,,,,,,
1132,应收利息,应向债务人收取的利息,Asset,,,,,1,,,,,,,,,,
1221,其他应收款,应收账款、包装物租金等其他应收、暂付款项,Asset,Debit,,Yes,,1,,,,,,,,,,
1231,坏账准备,应收款项计提、转销坏账准备等,Asset,,,,,1,,,,,,,,,,
1401,材料采购,,Asset,,,,,1,,,,,,,,,,
1402,在途物资,尚未入库的物资,Asset,,,,,1,,,,,,,,,,
140201,在途物资 - 库存冲销,Product Inventory Clearing - Default Product costs (I.e. on inventory),Asset,,Yes,,P_INVENTORYCLEARING_ACCT,5001,,,,,,,,,,
140202,在途物资 - 在途物资,,Asset,,,,,5001,,,,,,,,,,
1403,原材料,持有以备加工、消耗的材料,Asset,,,,,1,,,,,,,,,,
1404,材料成本差异,核算各种材料的实际成本与计划成本的差异,Asset,,,,,1,,,,,,,,,,
1405,库存商品,持有以备出售的材料,Asset,,,Yes,,1,,,,,,,,,,
140501,库存商品-商品,持有以备出售的材料 Product asset - Product Inventory Account,Asset,Debit,Yes,,P_ASSET_ACCT,1405,,,,,,,,,,
140510,库存商品-项目,,Asset,Debit,,Yes,,1405,,,,,,,,,,
14051001,项目资产,Project asset - Created Asset,Asset,Debit,Yes,,PJ_ASSET_ACCT,140510,,,,,,,,,,
14051002,项目过程资产,Project WIP - Asset Work in Progress,Asset,Debit,Yes,,PJ_WIP_ACCT,140510,,,,,,,,,,
1406,发出商品,已经发出但客户尚未取得控制权的商品,Asset,,,,,1,,,,,,,,,,
1407,商品进销差价,采用售价进行日常核算的商品售价与进价之间的差额,Asset,,,,,1,,,,,,,,,,
1408,委托加工物资,委托外单位加工的材料、物资,Asset,,,,,1,,,,,,,,,,
1411,周转材料,多次使用但不符合固定资产定义，如包装物、低值易耗品等,Asset,,,,,1,,,,,,,,,,
1421,消耗性生产资产,,Asset,Debit,,,,1,,,,,,,,,,
1471,存货跌价准备,存货减值的计提、转回,Asset,,,,,1,,,,,,,,,,
1473,合同资产,已向客户转让商品而有权对其收取对价的权利，且该权利取决于时间流逝以外的其他因素,Asset,Debit,,,,1,,,,,,,,,,
1474,合同资产减值准备,合同资产计提减值,Asset,Debit,,,,1,,,,,,,,,,
1475,合同履约成本,,Asset,Debit,,,,1,,,,,,,,,,
1476,合同履约成本减值准备,,Asset,Debit,,,,1,,,,,,,,,,
1477,合同取得成本,,Asset,Debit,,,,1,,,,,,,,,,
1478,合同取得成本减值准备,,Asset,Debit,,,,1,,,,,,,,,,
1481,持有待售资产,,Asset,Debit,,,,1,,,,,,,,,,
1482,持有待售资产减值准备,,Asset,Debit,,,,1,,,,,,,,,,
1485,应收退货成本,,Asset,Debit,,,,1,,,,,,,,,,
1501,持有至到期投资,持有至到期投资的摊余成本,Asset,,,,,1,,,,,,,,,,
1502,持有至到期投资减值准备,持有至到期投资的减值准备,Asset,,,,,1,,,,,,,,,,
1503,可供出售金融资产,持有的可供出售金融资产的公允价值，包括划分为可供出售的股票投资、债券投资等金融资产,Asset,,,,,1,,,,,,,,,,
1511,长期股权投资,持有的采用成本法和权益法核算的长期股权投资,Asset,,,,,1,,,,,,,,,,
1512,长期股权投资减值准备,长期股权投资的减值准备,Asset,,,,,1,,,,,,,,,,
1521,投资性房地产,采用成本模式计量的投资性房地产的成本,Asset,,,,,1,,,,,,,,,,
1531,长期应收款,的长期应收款项，包括融资租赁产生的应收款项、采用递延方式具有融资性质的销售商品和提供劳务等产生的应收款项等,Asset,,,,,1,,,,,,,,,,
1532,未实现融资收益,分期计入租赁收入或利息收入的未实现融资收益,Asset,,,,,1,,,,,,,,,,
1601,固定资产,为生产商品、提供劳务、出租或经营管理持有的，使用年限超过一年的有形资产,Asset,,,,,1,,,,,,,,,,
1602,累计折旧,固定资产计提折旧,Asset,,,,,1,,,,,,,,,,
1603,固定资产减值准备,固定资产的减值准备,Asset,,,,,1,,,,,,,,,,
1604,在建工程,基建、更新改造等在建工程发生的支出。在建工程发生减值的，可以单独设置“在建工程减值准备”科目，比照“固定资产减值准备”科目进行处理,Asset,,,,,1,,,,,,,,,,
1605,工程物资,为在建工程准备的各种物资的成本，包括工程用材料、尚未安装的设备以及为生产准备的工器具等,Asset,,,,,1,,,,,,,,,,
1606,固定资产清理,固定资产处置或报废等,Asset,,,,,1,,,,,,,,,,
